Unnamed: 0,ticker,Industry,cleaned_date,month,q,Issue_Date_Price,Three_Days_Later_Price,Prepared_remarks_Pos_Score,Prepared_remarks_Neg_Score,COVID_Period,Stock_Change,Stock_Direction,dominant_sentiment
320,AGS,Gambling,2020-03-04,2020-03,2019-Q4,8.180000305,6.210000038,0.2095367021,0.09038784138,True,-1.970000267,0,1
496,CARG,Auto & Truck Dealerships,2020-05-07,2020-05,2020-Q1,24.87000084,24.25,0.08594845235,0.1013599318,True,-0.62000084,0,0
1118,FLS,Specialty Industrial Machinery,2021-08-06,2021-08,2021-Q2,37.17111969,36.19098282,0.2409028232,0.1064306222,False,-0.98013687,0,1
139,AMBC,Insurance - Specialty,2019-11-08,2019-11,2019-Q3,20.69000053,20.27000046,0.1420981782,0.1133554641,False,-0.42000007,0,1
1273,PRGS,Software - Infrastructure,2022-01-18,2022-01,2021-Q4,43.77615356,42.90834427,0.1683940385,0.02797058271,False,-0.86780929,0,1
285,CBRL,Restaurants,2020-02-25,2020-02,2020-Q2,130.8441467,117.2631302,0.1168588875,0.06170941656,True,-13.5810165,0,0
478,KTB,Apparel Manufacturing,2020-05-07,2020-05,2020-Q1,16.0087986,14.20909309,0.077015816,0.1895902483,True,-1.79970551,0,0
1411,CRM,Software - Application,2022-08-24,2022-08,2023-Q2,179.0101471,164.3122406,0.05620477969,0.04155665574,False,-14.6979065,0,0
862,TCBI,Banks - Regional,2021-04-21,2021-04,2021-Q1,66.05000305,65.88999939,0.06948374119,0.03779766243,False,-0.16000366,0,0
584,FTV,Scientific & Technical Instruments,2020-07-28,2020-07,2020-Q2,58.34296036,57.65299606,0.2469403446,0.2193360545,False,-0.6899643,0,1
1186,HBAN,Banks - Regional,2021-10-28,2021-10,2021-Q3,13.64822578,13.67394352,0.1926917732,0.05774144968,False,0.02571774,1,1
217,MTD,Diagnostics & Research,2020-02-06,2020-02,2019-Q4,778.5200195,780.7700195,0.2487520843,0.03873099573,True,2.25,1,1
970,CCO,Advertising Agencies,2021-05-10,2021-05,2021-Q1,2.210000038,2.160000086,0.1052307754,0.08566530297,False,-0.049999952,0,0
1200,GWW,Industrial Distribution,2021-10-29,2021-10,2021-Q3,447.2798157,451.9254456,0.1452607792,0.03869144665,False,4.6456299,1,1
262,PARA,Entertainment,2020-02-20,2020-02,2019-Q4,25.39353371,23.34748077,0.1415361155,0.02384533414,True,-2.04605294,0,1
552,CPRT,Specialty Business Services,2020-05-21,2020-05,2020-Q3,21.60000038,21.5625,0.0881179298,0.08269999363,True,-0.03750038,0,0
1097,IDCC,Software - Application,2021-08-05,2021-08,2021-Q2,64.85271454,68.76842499,0.0744601811,0.1152223125,False,3.91571045,1,0
1195,WPC,REIT - Diversified,2021-10-29,2021-10,2021-Q3,62.42499924,63.38836288,0.3550202884,0.02270337287,False,0.96336364,1,1
721,UNP,Railroads,2021-01-21,2021-01,2020-Q4,190.3232269,189.0050049,0.2973425144,0.1961506879,False,-1.318222,0,1
795,VMI,Conglomerates,2021-02-18,2021-02,2020-Q4,216.8361664,222.504776,0.2521915138,0.03019516356,False,5.6686096,1,1
340,APH,Electronic Components,2020-04-22,2020-04,2020-Q1,19.50528526,20.58002472,0.1073400639,0.3234839576,True,1.07473946,1,0
1367,DOMO,Software - Application,2022-05-26,2022-05,2023-Q1,30.13999939,34.29000092,0.1038768254,0.04882909497,False,4.15000153,1,0
740,MAN,Staffing & Employment Services,2021-02-02,2021-02,2020-Q4,75.51135254,78.96067047,0.09106640837,0.3415662864,False,3.44931793,1,0
1256,CCO,Advertising Agencies,2021-11-09,2021-11,2021-Q3,3.49000001,3.640000105,0.1663594283,0.1661765225,False,0.150000095,1,1
209,MPW,REIT - Healthcare Facilities,2020-02-06,2020-02,2019-Q4,15.37875366,15.80836391,0.1193330502,0.03477516863,True,0.42961025,1,0
1370,ZS,Software - Infrastructure,2022-05-26,2022-05,2022-Q3,142.1300049,160.0,0.02687547728,0.04816431925,False,17.8699951,1,0
134,DIS,Entertainment,2019-11-07,2019-11,2019-Q4,130.5553131,134.2669525,0.1058741301,0.14345892,False,3.7116394,1,0
